,user_id,break_10-1,Score,Result_class,lost_9-2,3wu_8-3,lost_8-4,break_8-5
725,7014090424621915,0,1.9273341632868566,0,0,-1,0,0
207,7014091124638931,0,1.9247342134545165,0,0,-1,0,0
403,7014091167107500,0,1.9231317400113284,0,0,-1,0,0
86,7014061366477705,0,1.9231317400113284,0,0,-1,0,0
378,7014062966507536,0,1.9231317400113284,0,0,-1,0,0
474,7014072666553539,0,1.9231317400113284,0,0,-1,0,0
510,7014062466492565,0,1.9231317400113284,0,0,-1,0,0
592,7014070824400746,0,1.921237603834142,0,0,-1,0,0
713,7014062324331977,0,1.921237603834142,0,0,-1,0,0
60,7014090824630926,0,1.9202740552341655,0,0,-1,0,0
188,7014090424621811,0,1.913575499919833,0,0,-1,0,0
665,7014091267111186,0,1.9072386401449888,0,0,-1,0,0
655,7014060524270911,0,1.904982650508884,0,0,-1,0,0
674,7014072824474470,0,1.9001358464187628,0,0,-1,0,0
327,7014082924597399,0,1.8784186636239357,0,0,-1,0,0
381,7014070824401128,0,1.8722859537530439,0,0,-1,0,0
490,7014072424455674,0,1.8722859537530439,0,0,-1,0,0
586,7014070866525814,0,1.8719432600960553,0,0,-1,0,0
220,7014081766590229,0,1.808711722226146,0,0,-1,0,0
621,7014052324230696,0,1.7362940103622426,0,0,-1,0,0
40,7014082224566738,0,1.527260791277854,0,0,-1,0,0
74,7014090524623481,0,1.4961068761553793,0,0,-1,0,0
186,7014070524393939,0,1.4390731601644344,0,0,-1,0,0
356,7014092124669262,0,1.3471305518616818,0,0,-1,0,0
154,7014081466585732,0,1.213141443115785,0,0,-1,0,0
345,7014061324297670,0,1.2006116984268698,0,0,-1,0,0
438,7014091224643822,0,1.080388773529143,0,0,-1,0,0
218,7014081424539243,0,1.009413999542036,0,0,-1,0,0
160,7014082224566756,0,1.003478136706071,0,0,-1,0,0
633,7014062424338993,0,0.9872884300838581,0,0,-1,0,0
682,7014071124411833,0,0.9812329717789109,0,0,-1,0,0
246,7014052424233017,0,0.9804199390360627,0,0,-1,0,0
336,7014090667102169,0,0.9592108848446116,0,0,-1,0,0
552,7014072066541848,0,0.8794594044616922,0,0,-1,0,0
545,7014070624395081,0,0.8365570739071767,0,0,-1,0,0
547,7014052924248061,0,0.8013021714948542,0,0,-1,0,0
54,7014072466550776,0,0.8002761280636493,0,0,-1,0,0
606,7014052966446420,0,0.7883208435395737,0,0,-1,0,0
716,7014041466404230,0,0.7522946512041737,0,0,-1,0,0
49,7014060466461003,0,0.7522946512041737,0,0,-1,0,0
511,7014040366398926,0,0.7522946512041737,0,0,-1,0,0
579,7014031766380003,0,0.7522946512041737,0,0,-1,0,0
657,7014040866401086,0,0.7522946512041737,0,0,-1,0,0
221,7014050166420435,0,0.7522946512041737,0,0,-1,0,0
695,7014061066471664,0,0.7522946512041737,0,0,-1,0,0
62,7014030466367287,0,0.7522946512041737,0,0,-1,0,0
142,7014071766535413,0,0.7522946512041737,0,0,-1,0,0
456,7014052866444139,0,0.7522946512041737,0,0,-1,0,0
45,7014022466356517,0,0.7522946512041737,0,0,-1,0,0
258,7014041466404244,0,0.7522946512041737,0,0,-1,0,0
612,7014031766380111,0,0.7522946512041737,0,0,-1,0,0
322,7014072566551365,0,0.7522946512041737,0,0,-1,0,0
602,7014061266473911,0,0.7522946512041737,0,0,-1,0,0
329,7014030466367854,0,0.7522946512041737,0,0,-1,0,0
297,7014042966416896,0,0.7522946512041737,0,0,-1,0,0
471,7014042366410126,0,0.7522946512041737,0,0,-1,0,0
175,7014072266546212,0,0.7522946512041737,0,0,-1,0,0
79,7014051266427678,0,0.7522946512041737,0,0,-1,0,0
465,7014041866407890,0,0.7522946512041737,0,0,-1,0,0
210,7014040166397490,0,0.7522946512041737,0,0,-1,0,0
171,7014091067106786,0,0.7236904402558687,0,0,-1,0,0
